SensorID,Timestamp,ReadingValue
1,2020-01-08 06:00:00+00:00,152.08
1,2020-01-08 06:30:00+00:00,160.61
1,2020-01-08 07:00:00+00:00,164.5
1,2020-01-08 07:30:00+00:00,158.56
1,2020-01-08 08:00:00+00:00,163.33
1,2020-01-08 08:30:00+00:00,165.01
1,2020-01-08 09:00:00+00:00,163.12
1,2020-01-08 09:30:00+00:00,163.58
2,2020-01-08 10:00:00+00:00,161.74
2,2020-01-08 10:30:00+00:00,160.17
2,2020-01-08 11:00:00+00:00,160.74
2,2020-01-08 11:30:00+00:00,156.61
2,2020-01-08 12:00:00+00:00,160.77
2,2020-01-08 12:30:00+00:00,156.99
2,2020-01-08 13:00:00+00:00,160.74
2,2020-01-08 13:30:00+00:00,164.78
2,2020-01-08 14:00:00+00:00,187.46
2,2020-01-08 14:30:00+00:00,187.46
2,2020-01-08 15:00:00+00:00,187.46
2,2020-01-08 15:30:00+00:00,187.9
2,2020-01-08 16:00:00+00:00,132.84
2,2020-01-08 16:30:00+00:00,163.14
2,2020-01-08 17:00:00+00:00,191.86
2,2020-01-08 17:30:00+00:00,187.9
2,2020-01-08 18:00:00+00:00,187.9
2,2020-01-08 18:30:00+00:00,187.9
2,2020-01-08 19:00:00+00:00,187.9
2,2020-01-08 19:30:00+00:00,187.9
2,2020-01-08 20:00:00+00:00,191.02
2,2020-01-08 20:30:00+00:00,190.08
2,2020-01-08 21:00:00+00:00,162.55
2,2020-01-08 21:30:00+00:00,132.49
2,2020-01-08 22:00:00+00:00,165.01
2,2020-01-08 22:30:00+00:00,165.01
2,2020-01-08 23:00:00+00:00,164.97
2,2020-01-08 23:30:00+00:00,159.72
1,2020-01-09 00:00:00+00:00,165.01
1,2020-01-09 00:30:00+00:00,152.62
1,2020-01-09 01:00:00+00:00,148.84
1,2020-01-09 01:30:00+00:00,139.14
1,2020-01-09 02:00:00+00:00,121.09
1,2020-01-09 02:30:00+00:00,121.08
1,2020-01-09 03:00:00+00:00,121.08
1,2020-01-09 03:30:00+00:00,121.08
1,2020-01-09 04:00:00+00:00,128.13
1,2020-01-09 04:30:00+00:00,129.87
1,2020-01-09 05:00:00+00:00,149.95
1,2020-01-09 05:30:00+00:00,148.2
1,2020-01-09 06:00:00+00:00,153.41
1,2020-01-09 06:30:00+00:00,158.42
1,2020-01-09 07:00:00+00:00,153.58
1,2020-01-09 07:30:00+00:00,153.38
1,2020-01-09 08:00:00+00:00,163.35
1,2020-01-09 08:30:00+00:00,165.01
1,2020-01-09 09:00:00+00:00,165.01
1,2020-01-09 09:30:00+00:00,165.01
2,2020-01-09 10:00:00+00:00,165.01
2,2020-01-09 10:30:00+00:00,165.01
2,2020-01-09 11:00:00+00:00,165.01
2,2020-01-09 11:30:00+00:00,165.01
2,2020-01-09 12:00:00+00:00,165.01
2,2020-01-09 12:30:00+00:00,165.01
2,2020-01-09 13:00:00+00:00,165.01
2,2020-01-09 13:30:00+00:00,212.75
2,2020-01-09 14:00:00+00:00,188.3
2,2020-01-09 14:30:00+00:00,187.6
2,2020-01-09 15:00:00+00:00,121.62
2,2020-01-09 15:30:00+00:00,167.13
2,2020-01-09 16:00:00+00:00,168.59
2,2020-01-09 16:30:00+00:00,168.61
2,2020-01-09 17:00:00+00:00,177.36
2,2020-01-09 17:30:00+00:00,177.51
2,2020-01-09 18:00:00+00:00,177.51
2,2020-01-09 18:30:00+00:00,177.51
2,2020-01-09 19:00:00+00:00,178.65
2,2020-01-09 19:30:00+00:00,177.51
2,2020-01-09 20:00:00+00:00,167.13
2,2020-01-09 20:30:00+00:00,167.13
2,2020-01-09 21:00:00+00:00,167.62
2,2020-01-09 21:30:00+00:00,130.29
2,2020-01-09 22:30:00+00:00,165.01
2,2020-01-09 23:00:00+00:00,164.85
2,2020-01-09 23:30:00+00:00,152.85
1,2020-01-10 00:00:00+00:00,164.32
